date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
2020-03-11,South West,,,,,,1.0,1.0,
2020-03-12,South West,,,,,,0.0,1.0,
2020-03-13,South West,,,,,,0.0,1.0,
2020-03-14,South West,,,,,,1.0,2.0,
2020-03-15,South West,,,,,,1.0,3.0,0.1
2020-03-16,South West,,,,,,0.0,3.0,0.1
2020-03-17,South West,,,,,,2.0,5.0,0.1
2020-03-18,South West,,,,,,3.0,8.0,0.1
2020-03-19,South West,,,,,,4.0,12.0,0.2
2020-03-20,South West,,,,,,2.0,14.0,0.2
2020-03-21,South West,,,,,,8.0,22.0,0.4
2020-03-22,South West,,,,,,6.0,28.0,0.5
2020-03-23,South West,,,,,,9.0,37.0,0.7
2020-03-24,South West,,,,,,6.0,43.0,0.8
2020-03-25,South West,,,,,,10.0,53.0,0.9
2020-03-26,South West,,,,,,11.0,64.0,1.1
2020-03-27,South West,,,,,,13.0,77.0,1.4
2020-03-28,South West,,,,,,21.0,98.0,1.7
2020-03-29,South West,,,,,,23.0,121.0,2.1
2020-03-30,South West,,,,,,26.0,147.0,2.6
2020-03-31,South West,,,,,,25.0,172.0,3.0
2020-04-01,South West,,,,,,24.0,196.0,3.5
2020-04-02,South West,,,,,,29.0,225.0,4.0
2020-04-03,South West,,,,,,32.0,257.0,4.5
2020-04-04,South West,,,,,,41.0,298.0,5.3
2020-04-05,South West,,,,,,38.0,336.0,5.9
2020-04-06,South West,,,,,,41.0,377.0,6.7
2020-04-07,South West,,,,,,44.0,421.0,7.4
2020-04-08,South West,,,,,,51.0,472.0,8.3
2020-04-09,South West,,,,,,31.0,503.0,8.9
2020-04-10,South West,,,,,,63.0,566.0,10.0
2020-04-11,South West,,,,,,43.0,609.0,10.8
2020-04-12,South West,,,,,,37.0,646.0,11.4
2020-04-13,South West,,,,,,45.0,691.0,12.2
2020-04-14,South West,,,,,,33.0,724.0,12.8
2020-04-15,South West,,,,,,41.0,765.0,13.5
2020-04-16,South West,,3913.0,,,,40.0,805.0,14.2
2020-04-17,South West,309.0,4222.0,,,,48.0,853.0,15.1
2020-04-18,South West,226.0,4448.0,,,,40.0,893.0,15.8
2020-04-19,South West,221.0,4669.0,,,,48.0,941.0,16.6
2020-04-20,South West,192.0,4861.0,,,,40.0,981.0,17.3
2020-04-21,South West,184.0,5045.0,,,,43.0,1024.0,18.1
2020-04-22,South West,184.0,5229.0,,,,30.0,1054.0,18.6
2020-04-23,South West,182.0,5411.0,,,,34.0,1088.0,19.2
2020-04-24,South West,117.0,5528.0,,,,37.0,1125.0,19.9
2020-04-25,South West,173.0,5701.0,,,,26.0,1151.0,20.3
2020-04-26,South West,96.0,5797.0,,,,36.0,1187.0,21.0
2020-04-27,South West,105.0,5902.0,,,,32.0,1219.0,21.5
2020-04-28,South West,84.0,5986.0,,,,29.0,1248.0,22.1
2020-04-29,South West,70.0,6056.0,,,,32.0,1280.0,22.6
2020-04-30,South West,121.0,6177.0,,,,37.0,1317.0,23.3
2020-05-01,South West,127.0,6304.0,,,,12.0,1329.0,23.5
2020-05-02,South West,101.0,6405.0,,,,23.0,1352.0,23.9
2020-05-03,South West,84.0,6489.0,,,,20.0,1372.0,24.2
2020-05-04,South West,82.0,6571.0,,,,29.0,1401.0,24.8
2020-05-05,South West,86.0,6657.0,,,,31.0,1432.0,25.3
2020-05-06,South West,69.0,6726.0,,,,31.0,1463.0,25.9
2020-05-07,South West,99.0,6825.0,,,,28.0,1491.0,26.3
2020-05-08,South West,82.0,6907.0,,,,14.0,1505.0,26.6
2020-05-09,South West,67.0,6974.0,,,,25.0,1530.0,27.0
2020-05-10,South West,32.0,7006.0,,,,13.0,1543.0,27.3
2020-05-11,South West,38.0,7044.0,,,,12.0,1555.0,27.5
2020-05-12,South West,48.0,7092.0,,,,8.0,1563.0,27.6
2020-05-13,South West,63.0,7155.0,,,,15.0,1578.0,27.9
2020-05-14,South West,32.0,7187.0,,,,12.0,1590.0,28.1
2020-05-15,South West,40.0,7227.0,,,,7.0,1597.0,28.2
2020-05-16,South West,39.0,7266.0,,,,9.0,1606.0,28.4
2020-05-17,South West,28.0,7294.0,,,,11.0,1617.0,28.6
2020-05-18,South West,21.0,7315.0,,,,9.0,1626.0,28.7
2020-05-19,South West,25.0,7340.0,,,,14.0,1640.0,29.0
2020-05-20,South West,30.0,7370.0,,,,9.0,1649.0,29.1
2020-05-21,South West,52.0,7422.0,,,,9.0,1658.0,29.3
2020-05-22,South West,54.0,7476.0,,,,10.0,1668.0,29.5
2020-05-23,South West,29.0,7505.0,,,,11.0,1679.0,29.7
2020-05-24,South West,19.0,7524.0,,,,8.0,1687.0,29.8
2020-05-25,South West,15.0,7539.0,,,,11.0,1698.0,30.0
2020-05-26,South West,14.0,7553.0,,,,12.0,1710.0,30.2
2020-05-27,South West,24.0,7577.0,,,,8.0,1718.0,30.4
2020-05-28,South West,4.0,7581.0,,,,12.0,1730.0,30.6
2020-05-29,South West,37.0,7618.0,,,,11.0,1741.0,30.8
2020-05-30,South West,14.0,7632.0,,,,7.0,1748.0,30.9
2020-05-31,South West,22.0,7654.0,,,,4.0,1752.0,31.0
2020-06-01,South West,13.0,7667.0,,,,8.0,1760.0,31.1
2020-06-02,South West,13.0,7680.0,,,,5.0,1765.0,31.2
2020-06-03,South West,64.0,7744.0,,,,9.0,1774.0,31.3
2020-06-04,South West,22.0,7766.0,,,,5.0,1779.0,31.4
2020-06-05,South West,43.0,7809.0,,,,2.0,1781.0,31.5
2020-06-06,South West,9.0,7818.0,,,,3.0,1784.0,31.5
2020-06-07,South West,0.0,7818.0,,,,11.0,1795.0,31.7
2020-06-08,South West,11.0,7829.0,,,,4.0,1799.0,31.8
2020-06-09,South West,23.0,7852.0,,,,1.0,1800.0,31.8
